"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
3,3,131069,41620.037215,0.00002403
3,3,131072,44199.531204,0.00002262
3,3,131075,44583.504877,0.00002243
3,3,196605,48522.591688,0.00003091
3,3,196608,46764.126450,0.00003208
3,3,196611,46942.355641,0.00003195
3,3,262141,50290.521350,0.00003977
3,3,262144,50374.207593,0.00003970
3,3,262147,50353.541266,0.00003972
3,3,393213,53925.037697,0.00005563
3,3,393216,53929.531001,0.00005563
3,3,393219,53926.759156,0.00005563
3,3,524285,55877.091354,0.00007159
3,3,524288,55919.513545,0.00007153
3,3,524291,54175.944337,0.00007383
3,3,786429,57602.859844,0.00010416
3,3,786432,57623.032430,0.00010413
3,3,786435,57472.327716,0.00010440
3,3,1048573,58656.926075,0.00013639
3,3,1048576,58778.110684,0.00013611
3,3,1048579,59117.412729,0.00013532
3,3,1572861,59631.093799,0.00020124
3,3,1572864,59420.995896,0.00020195
3,3,1572867,59705.616208,0.00020099
3,3,2097149,60313.123846,0.00026528
3,3,2097152,60403.439613,0.00026489
3,3,2097155,60424.789113,0.00026479
3,3,3145725,54266.887466,0.00044226
3,3,3145728,54579.280505,0.00043973
3,3,3145731,54798.697075,0.00043797
3,3,4194301,44553.084295,0.00071824
3,3,4194304,43830.863893,0.00073008
3,3,4194307,43830.753389,0.00073008
3,3,6291453,35905.005850,0.00133686
3,3,6291456,35888.920852,0.00133746
3,3,6291459,35698.804777,0.00134458
3,3,8388605,34843.728701,0.00183677
3,3,8388608,35124.377861,0.00182210
3,3,8388611,34934.519244,0.00183200
3,3,12582909,35374.807212,0.00271380
3,3,12582912,34633.853776,0.00277185
3,3,12582915,34900.597238,0.00275067
3,3,16777213,35071.735211,0.00364966
3,3,16777216,35057.435264,0.00365115
3,3,16777219,35118.476495,0.00364481
4,4,1,0.844620,0.00000903
4,4,2,2.848888,0.00000536
4,4,3,4.188721,0.00000546
4,4,4,5.793746,0.00000527
4,4,6,8.330109,0.00000550
4,4,8,14.364717,0.00000425
4,4,12,17.025614,0.00000538
4,4,13,18.666041,0.00000531
4,4,16,22.948066,0.00000532
4,4,19,38.313992,0.00000378
4,4,21,29.334404,0.00000546
4,4,24,33.453328,0.00000547
4,4,27,38.179712,0.00000540
4,4,29,42.362992,0.00000522
4,4,32,44.620914,0.00000547
4,4,35,48.982232,0.00000545
4,4,45,63.894197,0.00000537
4,4,48,67.645599,0.00000541
4,4,51,79.176509,0.00000491
4,4,61,86.611306,0.00000537
4,4,64,115.297241,0.00000423
4,4,67,96.500885,0.00000530
4,4,93,140.778420,0.00000504
4,4,96,135.326295,0.00000541
4,4,99,139.678011,0.00000541
4,4,125,186.312643,0.00000512
4,4,128,203.735069,0.00000479
4,4,131,186.791480,0.00000535
4,4,189,262.296440,0.00000550
4,4,192,267.075851,0.00000548
4,4,195,274.025372,0.00000543
4,4,253,355.139616,0.00000544
4,4,256,523.167555,0.00000373
4,4,259,470.416391,0.00000420
4,4,381,555.542033,0.00000523
4,4,384,636.715786,0.00000460
4,4,387,543.903325,0.00000543
4,4,509,703.691507,0.00000552
4,4,512,722.111818,0.00000541
4,4,515,717.129941,0.00000548
4,4,765,1057.038111,0.00000552
4,4,768,1065.710461,0.00000550
4,4,771,1082.854669,0.00000543
4,4,1021,1406.346075,0.00000554
4,4,1024,1972.754288,0.00000396
4,4,1027,1478.814827,0.00000530
4,4,1533,2097.717792,0.00000558
4,4,1536,2149.227155,0.00000545
4,4,1539,2140.392333,0.00000549
4,4,2045,2814.014629,0.00000554
4,4,2048,2828.697908,0.00000552
4,4,2051,3354.663914,0.00000466
4,4,3069,4274.453250,0.00000548
4,4,3072,4302.175362,0.00000545
4,4,3075,4318.657848,0.00000543
4,4,4093,5479.202510,0.00000570
4,4,4096,7509.201791,0.00000416
4,4,4099,5740.864167,0.00000545
4,4,6141,8309.188858,0.00000564
4,4,6144,10460.597234,0.00000448
4,4,6147,8352.623383,0.00000561
4,4,8189,10735.638625,0.00000582
4,4,8192,10732.801861,0.00000582
4,4,8195,10812.125658,0.00000578
4,4,12285,14991.001646,0.00000625
4,4,12288,15013.640372,0.00000624
4,4,12291,15695.582078,0.00000597
4,4,16381,16995.835696,0.00000735
4,4,16384,16712.068674,0.00000748
4,4,16387,19050.840398,0.00000656
4,4,24573,25274.209240,0.00000742
4,4,24576,23010.090619,0.00000815
4,4,24579,22336.610511,0.00000840
4,4,32765,27083.729847,0.00000923
4,4,32768,28192.409535,0.00000887
4,4,32771,28124.213276,0.00000889
4,4,49149,27078.427111,0.00001385
4,4,49152,26391.200209,0.00001421
4,4,49155,26809.415253,0.00001399
4,4,65533,31523.039766,0.00001586
4,4,65536,31419.127490,0.00001591
