"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
3,3,131075,26497.731994,0.00003774
3,3,196605,30682.721742,0.00004889
3,3,196608,30738.764206,0.00004880
3,3,196611,30733.464927,0.00004881
3,3,262141,30280.872196,0.00006605
3,3,262144,30406.168479,0.00006578
3,3,262147,30168.625914,0.00006629
3,3,393213,34912.202008,0.00008593
3,3,393216,35221.936966,0.00008517
3,3,393219,35276.847770,0.00008504
3,3,524285,38647.165438,0.00010350
3,3,524288,38435.866641,0.00010407
3,3,524291,38609.120987,0.00010360
3,3,786429,40069.969182,0.00014974
3,3,786432,40093.986435,0.00014965
3,3,786435,40055.921024,0.00014979
3,3,1048573,41874.896871,0.00019104
3,3,1048576,42003.994072,0.00019046
3,3,1048579,41700.833591,0.00019184
3,3,1572861,42379.729293,0.00028315
3,3,1572864,42257.951650,0.00028397
3,3,1572867,42187.939256,0.00028444
3,3,2097149,39834.739196,0.00040166
3,3,2097152,39486.104705,0.00040521
3,3,2097155,39526.803221,0.00040479
3,3,3145725,29040.526322,0.00082643
3,3,3145728,29010.901716,0.00082728
3,3,3145731,27339.185060,0.00087786
3,3,4194301,22281.383100,0.00143618
3,3,4194304,22672.082473,0.00141143
3,3,4194307,22788.069699,0.00140424
3,3,6291453,23744.212101,0.00202154
3,3,6291456,23969.457801,0.00200255
3,3,6291459,24001.447591,0.00199988
3,3,8388605,24111.140952,0.00265437
3,3,8388608,24041.089189,0.00266211
3,3,8388611,24077.276746,0.00265811
3,3,12582909,24507.145907,0.00391722
3,3,12582912,24386.617768,0.00393659
3,3,12582915,24403.460184,0.00393387
3,3,16777213,23810.592209,0.00537576
3,3,16777216,24114.579069,0.00530799
3,3,16777219,24136.507043,0.00530317
4,4,1,0.818841,0.00000932
4,4,2,1.652871,0.00000923
4,4,3,2.394090,0.00000956
4,4,4,3.182542,0.00000959
4,4,6,5.144293,0.00000890
4,4,8,6.698156,0.00000911
4,4,12,9.989557,0.00000916
