"Memory write bandwidth 0.000512",10661.01
"Memory write bandwidth 0.001024",10904.88
"Memory write bandwidth 0.002048",11031.96
"Memory write bandwidth 0.004096",11095.31
"Memory write bandwidth 0.008192",11126.23
"Memory write bandwidth 0.016384",11143.86
"Memory write bandwidth 0.032768",11140.76
"Memory write bandwidth 0.065536",10491.95
"Memory write bandwidth 0.131072",10465.46
"Memory write bandwidth 0.262144",10319.50
"Memory write bandwidth 0.524288",9927.91
"Memory write bandwidth 1.05",9931.12
"Memory write bandwidth 2.10",9921.02
"Memory write bandwidth 4.19",9922.83
"Memory write bandwidth 8.39",9395.49
"Memory write bandwidth 16.78",7185.10
"Memory write bandwidth 33.55",7169.75
"Memory write bandwidth 67.11",6958.61
"Memory write bandwidth 134.22",7193.58
"Memory write bandwidth 268.44",7064.83
"Memory write bandwidth 536.87",7072.93
"Memory write bandwidth 1073.74",7038.44
"Memory write bandwidth 2147.48",6931.95
"Memory partial write bandwidth 0.000512",39684.37
"Memory partial write bandwidth 0.001024",42017.67
"Memory partial write bandwidth 0.002048",43299.19
"Memory partial write bandwidth 0.004096",43947.08
"Memory partial write bandwidth 0.008192",44293.95
"Memory partial write bandwidth 0.016384",44475.52
"Memory partial write bandwidth 0.032768",42426.00
"Memory partial write bandwidth 0.065536",27143.50
"Memory partial write bandwidth 0.131072",26767.04
"Memory partial write bandwidth 0.262144",26006.92
"Memory partial write bandwidth 0.524288",16617.39
"Memory partial write bandwidth 1.05",15947.92
"Memory partial write bandwidth 2.10",15950.81
"Memory partial write bandwidth 4.19",15876.58
"Memory partial write bandwidth 8.39",12841.34
"Memory partial write bandwidth 16.78",7464.28
"Memory partial write bandwidth 33.55",7030.79
"Memory partial write bandwidth 67.11",7111.25
"Memory partial write bandwidth 134.22",7180.87
"Memory partial write bandwidth 268.44",7256.58
"Memory partial write bandwidth 536.87",7126.07
"Memory partial write bandwidth 1073.74",7074.70
"Memory partial write bandwidth 2147.48",6981.14
"Memory partial read/write bandwidth 0.000512",22319.57
"Memory partial read/write bandwidth 0.001024",22310.17
"Memory partial read/write bandwidth 0.002048",22321.32
"Memory partial read/write bandwidth 0.004096",22320.04
"Memory partial read/write bandwidth 0.008192",22322.72
"Memory partial read/write bandwidth 0.016384",22320.15
"Memory partial read/write bandwidth 0.032768",22322.90
"Memory partial read/write bandwidth 0.065536",22312.42
"Memory partial read/write bandwidth 0.131072",22253.03
"Memory partial read/write bandwidth 0.262144",20377.66
"Memory partial read/write bandwidth 0.524288",15322.27
"Memory partial read/write bandwidth 1.05",15066.84
"Memory partial read/write bandwidth 2.10",15046.83
"Memory partial read/write bandwidth 4.19",15068.45
"Memory partial read/write bandwidth 8.39",11667.05
"Memory partial read/write bandwidth 16.78",7067.07
"Memory partial read/write bandwidth 33.55",6681.49
"Memory partial read/write bandwidth 67.11",6752.07
"Memory partial read/write bandwidth 134.22",6810.66
"Memory partial read/write bandwidth 268.44",6779.36
"Memory partial read/write bandwidth 536.87",6860.09
"Memory partial read/write bandwidth 1073.74",6823.34
"Memory partial read/write bandwidth 2147.48",6740.57
"./lmbench",418
"./lmbench",419
"size=0k ovr=0.59 2",4.54
"size=0k ovr=0.59 4",4.20
"size=0k ovr=0.59 8",3.96
"size=0k ovr=0.59 16",4.51
"size=0k ovr=0.59 24",4.08
"size=0k ovr=0.59 32",4.65
"size=0k ovr=0.59 64",4.87
"size=0k ovr=0.59 96",4.00
"size=4k ovr=0.99 2",5.55
"size=4k ovr=0.99 4",4.32
"size=4k ovr=0.99 8",3.27
"size=4k ovr=0.99 16",4.12
"size=4k ovr=0.99 24",3.51
"size=4k ovr=0.99 32",3.58
"size=4k ovr=0.99 64",4.17
"size=4k ovr=0.99 96",3.52
"size=8k ovr=1.28 2",4.37
"size=8k ovr=1.28 4",5.77
"size=8k ovr=1.28 8",4.22
"size=8k ovr=1.28 16",3.63
"size=8k ovr=1.28 24",3.44
"size=8k ovr=1.28 32",4.70
"size=8k ovr=1.28 64",5.34
