"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance","Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
2,0.000005,95.378930,512,64,0.000000,2,0.000010,48.311836,512,64,0.000000
3,0.000005,89.928352,512,64,0.000000,3,0.000010,47.712036,512,64,0.000000
4,0.000005,90.984330,512,64,0.000000,4,0.000010,49.998365,512,64,0.000000
5,0.000005,98.698587,512,64,0.000000,5,0.000010,48.451917,512,64,0.000000
1,0.000005,93.975397,536,67,0.000000,1,0.000010,50.870315,536,67,0.000000
2,0.000004,122.002355,536,67,0.000000,2,0.000010,51.133005,536,67,0.000000
3,0.000004,123.204791,536,67,0.000000,3,0.000010,50.298312,536,67,0.000000
4,0.000004,124.647482,536,67,0.000000,4,0.000010,51.503230,536,67,0.000000
5,0.000004,123.898010,536,67,0.000000,5,0.000010,50.685045,536,67,0.000000
1,0.000005,137.427004,744,93,0.000000,1,0.000010,69.233933,744,93,0.000000
2,0.000005,145.352414,744,93,0.000000,2,0.000010,70.361678,744,93,0.000000
3,0.000005,154.173525,744,93,0.000000,3,0.000010,71.044765,744,93,0.000000
4,0.000005,130.200385,744,93,0.000000,4,0.000010,70.093660,744,93,0.000000
5,0.000004,163.836827,744,93,0.000000,5,0.000010,68.480279,744,93,0.000000
1,0.000005,137.062658,768,96,0.000000,1,0.000010,72.848000,768,96,0.000000
2,0.000004,169.534517,768,96,0.000000,2,0.000010,72.267074,768,96,0.000000
3,0.000004,174.499569,768,96,0.000000,3,0.000010,73.189534,768,96,0.000000
4,0.000005,136.168137,768,96,0.000000,4,0.000010,72.861574,768,96,0.000000
5,0.000004,166.784133,768,96,0.000000,5,0.000010,72.276115,768,96,0.000000
1,0.000005,165.572308,792,99,0.000000,1,0.000010,73.500796,792,99,0.000000
2,0.000005,156.167849,792,99,0.000000,2,0.000010,77.627327,792,99,0.000000
3,0.000004,168.288094,792,99,0.000000,3,0.000010,75.370589,792,99,0.000000
4,0.000005,138.593917,792,99,0.000000,4,0.000010,75.258419,792,99,0.000000
5,0.000005,153.228609,792,99,0.000000,5,0.000010,73.135901,792,99,0.000000
1,0.000004,226.247901,1000,125,0.000000,1,0.000010,94.788812,1000,125,0.000000
2,0.000005,195.904414,1000,125,0.000000,2,0.000010,94.287664,1000,125,0.000000
3,0.000005,176.407894,1000,125,0.000000,3,0.000010,95.063554,1000,125,0.000000
4,0.000005,177.745811,1000,125,0.000000,4,0.000010,95.982113,1000,125,0.000000
5,0.000005,176.760313,1000,125,0.000000,5,0.000010,94.850160,1000,125,0.000000
1,0.000005,190.880583,1024,128,0.000000,1,0.000010,96.281250,1024,128,0.000000
2,0.000005,184.259272,1024,128,0.000000,2,0.000010,96.158042,1024,128,0.000000
3,0.000004,237.030674,1024,128,0.000000,3,0.000010,95.796186,1024,128,0.000000
4,0.000005,182.010667,1024,128,0.000000,4,0.000010,95.956897,1024,128,0.000000
5,0.000005,191.823611,1024,128,0.000000,5,0.000010,94.454614,1024,128,0.000000
1,0.000005,206.669736,1048,131,0.000000,1,0.000010,96.969908,1048,131,0.000000
2,0.000005,207.271409,1048,131,0.000000,2,0.000010,100.751018,1048,131,0.000000
3,0.000005,199.974449,1048,131,0.000000,3,0.000010,98.779006,1048,131,0.000000
4,0.000005,214.981814,1048,131,0.000000,4,0.000010,98.166538,1048,131,0.000000
5,0.000004,241.973978,1048,131,0.000000,5,0.000010,100.592271,1048,131,0.000000
1,0.000006,258.818946,1512,189,0.000000,1,0.000010,138.054903,1512,189,0.000000
2,0.000004,328.863544,1512,189,0.000000,2,0.000010,143.986372,1512,189,0.000000
3,0.000005,315.952558,1512,189,0.000000,3,0.000010,137.494992,1512,189,0.000000
4,0.000004,320.711692,1512,189,0.000000,4,0.000010,140.836563,1512,189,0.000000
5,0.000005,300.022206,1512,189,0.000000,5,0.000010,139.506541,1512,189,0.000000
1,0.000005,269.666427,1536,192,0.000000,1,0.000010,143.392832,1536,192,0.000000
2,0.000005,292.284355,1536,192,0.000000,2,0.000010,143.822600,1536,192,0.000000
3,0.000004,349.628530,1536,192,0.000000,3,0.000010,144.591894,1536,192,0.000000
4,0.000005,289.601563,1536,192,0.000000,4,0.000010,143.211595,1536,192,0.000000
5,0.000005,295.327948,1536,192,0.000000,5,0.000010,141.009779,1536,192,0.000000
1,0.000004,340.756758,1560,195,0.000000,1,0.000010,144.314392,1560,195,0.000000
2,0.000005,275.477002,1560,195,0.000000,2,0.000010,147.796301,1560,195,0.000000
3,0.000005,309.032051,1560,195,0.000000,3,0.000010,144.663354,1560,195,0.000000
4,0.000004,354.144436,1560,195,0.000000,4,0.000010,144.130071,1560,195,0.000000
5,0.000004,359.861138,1560,195,0.000000,5,0.000010,142.760506,1560,195,0.000000
1,0.000004,458.821934,2024,253,0.000000,1,0.000010,193.160842,2024,253,0.000000
2,0.000004,458.203630,2024,253,0.000000,2,0.000010,188.879622,2024,253,0.000000
3,0.000004,459.904469,2024,253,0.000000,3,0.000010,183.849662,2024,253,0.000000
4,0.000005,370.891702,2024,253,0.000000,4,0.000010,192.909569,2024,253,0.000000
5,0.000005,355.483733,2024,253,0.000000,5,0.000010,193.370643,2024,253,0.000000
1,0.000004,460.579252,2048,256,0.000000,1,0.000010,189.369551,2048,256,0.000000
2,0.000005,360.778615,2048,256,0.000000,2,0.000010,192.671263,2048,256,0.000000
3,0.000004,437.279112,2048,256,0.000000,3,0.000010,191.406169,2048,256,0.000000
4,0.000005,404.541749,2048,256,0.000000,4,0.000010,189.126360,2048,256,0.000000
5,0.000005,410.855197,2048,256,0.000000,5,0.000010,189.567143,2048,256,0.000000
1,0.000005,360.131461,2072,259,0.000000,1,0.000010,200.290518,2072,259,0.000000
2,0.000004,453.023303,2072,259,0.000000,2,0.000010,194.888149,2072,259,0.000000
3,0.000005,365.452506,2072,259,0.000000,3,0.000010,190.577355,2072,259,0.000000
4,0.000005,361.811674,2072,259,0.000000,4,0.000010,191.296824,2072,259,0.000000
5,0.000005,395.202836,2072,259,0.000000,5,0.000010,191.751802,2072,259,0.000000
1,0.000005,537.839095,3048,381,0.000000,1,0.000010,279.096150,3048,381,0.000000
2,0.000004,684.739033,3048,381,0.000000,2,0.000011,276.718550,3048,381,0.000000
3,0.000005,582.943401,3048,381,0.000000,3,0.000010,279.052689,3048,381,0.000000
4,0.000004,648.925219,3048,381,0.000000,4,0.000010,281.195660,3048,381,0.000000
5,0.000005,585.541929,3048,381,0.000000,5,0.000010,281.879876,3048,381,0.000000
1,0.000005,610.424137,3072,384,0.000000,1,0.000010,286.733170,3072,384,0.000000
2,0.000005,572.236205,3072,384,0.000000,2,0.000010,284.296243,3072,384,0.000000
3,0.000005,536.558205,3072,384,0.000000,3,0.000010,279.833224,3072,384,0.000000
4,0.000005,639.324676,3072,384,0.000000,4,0.000010,289.769481,3072,384,0.000000
5,0.000005,540.430639,3072,384,0.000000,5,0.000010,282.684203,3072,384,0.000000
1,0.000005,593.271800,3096,387,0.000000,1,0.000010,297.528737,3096,387,0.000000
2,0.000005,593.803765,3096,387,0.000000,2,0.000010,282.820181,3096,387,0.000000
3,0.000005,576.278594,3096,387,0.000000,3,0.000011,280.030427,3096,387,0.000000
4,0.000005,593.964013,3096,387,0.000000,4,0.000010,289.125449,3096,387,0.000000
5,0.000005,578.592250,3096,387,0.000000,5,0.000010,290.648609,3096,387,0.000000
1,0.000005,792.067200,4072,509,0.000000,1,0.000010,385.732092,4072,509,0.000000
2,0.000005,853.792499,4072,509,0.000000,2,0.000010,377.564514,4072,509,0.000000
3,0.000005,706.348021,4072,509,0.000000,3,0.000010,378.370698,4072,509,0.000000
4,0.000005,712.421147,4072,509,0.000000,4,0.000010,381.483554,4072,509,0.000000
5,0.000005,791.306992,4072,509,0.000000,5,0.000011,366.257797,4072,509,0.000000
1,0.000005,773.498390,4096,512,0.000000,1,0.000010,375.212117,4096,512,0.000000
2,0.000005,817.867849,4096,512,0.000000,2,0.000010,376.023282,4096,512,0.000000
3,0.000005,805.788247,4096,512,0.000000,3,0.000010,373.862034,4096,512,0.000000
4,0.000005,791.136368,4096,512,0.000000,4,0.000010,376.937822,4096,512,0.000000
5,0.000004,932.401443,4096,512,0.000000,5,0.000010,379.842671,4096,512,0.000000
1,0.000004,891.609925,4120,515,0.000000,1,0.000010,394.649172,4120,515,0.000000
2,0.000006,707.083268,4120,515,0.000000,2,0.000010,390.617730,4120,515,0.000000
3,0.000004,937.380077,4120,515,0.000000,3,0.000010,385.215720,4120,515,0.000000
4,0.000005,721.003457,4120,515,0.000000,4,0.000010,385.246464,4120,515,0.000000
5,0.000005,837.647817,4120,515,0.000000,5,0.000010,383.546753,4120,515,0.000000
1,0.000005,1106.999716,6120,765,0.000000,1,0.000010,560.523943,6120,765,0.000000
2,0.000005,1113.983521,6120,765,0.000000,2,0.000010,567.677747,6120,765,0.000000
3,0.000005,1171.577640,6120,765,0.000000,3,0.000010,566.437043,6120,765,0.000000
4,0.000004,1372.316548,6120,765,0.000000,4,0.000010,584.830206,6120,765,0.000000
5,0.000005,1137.987955,6120,765,0.000000,5,0.000010,563.965118,6120,765,0.000000
1,0.000005,1179.749214,6144,768,0.000000,1,0.000010,577.139338,6144,768,0.000000
2,0.000004,1326.596340,6144,768,0.000000,2,0.000010,568.745539,6144,768,0.000000
3,0.000005,1210.033717,6144,768,0.000000,3,0.000010,572.660815,6144,768,0.000000
4,0.000005,1145.193591,6144,768,0.000000,4,0.000010,572.231347,6144,768,0.000000
5,0.000005,1069.698194,6144,768,0.000000,5,0.000010,559.996468,6144,768,0.000000
1,0.000006,1051.985987,6168,771,0.000000,1,0.000010,575.901635,6168,771,0.000000
2,0.000005,1134.646668,6168,771,0.000000,2,0.000010,569.227827,6168,771,0.000000
3,0.000005,1130.082809,6168,771,0.000000,3,0.000011,550.134908,6168,771,0.000000
4,0.000006,1037.758731,6168,771,0.000000,4,0.000010,569.305510,6168,771,0.000000
5,0.000005,1187.593697,6168,771,0.000000,5,0.000010,567.220621,6168,771,0.000000
1,0.000004,1779.454614,8168,1021,0.000000,1,0.000010,747.531302,8168,1021,0.000000
2,0.000004,1735.267670,8168,1021,0.000000,2,0.000010,765.634886,8168,1021,0.000000
3,0.000005,1484.241134,8168,1021,0.000000,3,0.000011,735.489424,8168,1021,0.000000
4,0.000005,1655.071529,8168,1021,0.000000,4,0.000010,752.135817,8168,1021,0.000000
5,0.000004,1803.797633,8168,1021,0.000000,5,0.000011,732.042992,8168,1021,0.000000
1,0.000005,1442.455430,8192,1024,0.000000,1,0.000010,758.033240,8192,1024,0.000000
2,0.000005,1615.822170,8192,1024,0.000000,2,0.000010,764.068220,8192,1024,0.000000
3,0.000005,1542.661191,8192,1024,0.000000,3,0.000011,739.834830,8192,1024,0.000000
4,0.000005,1424.613944,8192,1024,0.000000,4,0.000010,765.815388,8192,1024,0.000000
5,0.000005,1607.929849,8192,1024,0.000000,5,0.000010,757.683045,8192,1024,0.000000
1,0.000005,1575.526099,8216,1027,0.000000,1,0.000010,746.788976,8216,1027,0.000000
2,0.000005,1623.680481,8216,1027,0.000000,2,0.000010,758.638945,8216,1027,0.000000
3,0.000004,1761.537496,8216,1027,0.000000,3,0.000010,755.509629,8216,1027,0.000000
4,0.000005,1443.102119,8216,1027,0.000000,4,0.000010,751.462575,8216,1027,0.000000
5,0.000006,1412.397145,8216,1027,0.000000,5,0.000011,743.505452,8216,1027,0.000000
1,0.000005,2196.299801,12264,1533,0.000000,1,0.000011,1098.127293,12264,1533,0.000000
2,0.000005,2341.781526,12264,1533,0.000000,2,0.000011,1077.525821,12264,1533,0.000000
3,0.000005,2151.658150,12264,1533,0.000000,3,0.000011,1061.038230,12264,1533,0.000000
4,0.000004,2678.929487,12264,1533,0.000000,4,0.000011,1087.940673,12264,1533,0.000000
5,0.000005,2486.550514,12264,1533,0.000000,5,0.000011,1084.848199,12264,1533,0.000000
1,0.000004,2667.357030,12288,1536,0.000000,1,0.000011,1072.368397,12288,1536,0.000000
2,0.000004,2687.662104,12288,1536,0.000000,2,0.000011,1097.132809,12288,1536,0.000000
